u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
25.499,25.9117,25.2902,25.054,24.6474,0.704
25.3496,25.2872,24.2427,24.0765,24.0205,0.4305
25.015,25.0026,24.2299,23.9558,23.9265,0.564
25.3672,25.3672,24.7859,24.5681,24.1768,1.4122
25.7713,25.3691,24.9087,24.2179,23.8125,1.7049
24.6683,24.4492,23.0566,22.83,22.4746,0.3577
23.7094,23.6742,22.489,22.2167,21.9232,0.5032
25.1927,25.3494,25.1963,24.963,24.6488,1.9297
25.5929,25.6579,25.0402,24.7877,24.1104,1.1808
26.7038,26.1605,25.5304,24.7425,24.3267,1.9688
24.0671,24.1956,23.7142,23.1016,22.7173,0.9164
25.852,25.5448,24.0754,23.0418,22.0273,1.282
24.8019,24.8901,24.3937,24.0194,23.3994,1.1148
24.3906,24.4267,23.3576,22.922,22.7411,0.6295
24.9104,25.1059,24.6339,24.1121,23.7559,0.8371
24.195,24.1112,22.8968,22.6017,22.2061,0.4822
24.7379,24.7001,23.6773,23.1085,22.7975,0.6572
25.5717,25.5452,24.4602,23.94,23.7807,0.6665
25.7447,25.4701,24.2752,24.0545,23.7382,0.0765
23.7904,23.8421,23.1108,22.7092,22.5864,0.66
24.5042,24.5686,23.7052,23.5318,23.352,0.5232
24.745,24.8981,24.2996,23.8752,23.3297,1.1364
23.9428,23.9494,22.7063,22.433,22.1535,0.5168
24.4636,24.4834,24.054,23.8105,23.3354,1.4205
26.1385,26.304,25.5386,25.2942,24.5687,1.4422
25.0384,25.1499,24.4905,24.1194,23.4244,1.1917
25.9345,26.0447,25.2809,24.9106,24.5403,0.6107
24.883,24.8682,24.4176,24.2654,23.6607,1.3731
25.0089,25.0638,24.0242,23.6253,23.5007,0.5864
24.2098,24.139,23.2246,22.5758,22.2154,0.7473
24.2628,24.1873,22.8391,22.5881,22.2738,0.329
25.2388,24.6016,23.6895,23.4427,23.2628,0.1292
25.5583,25.5316,24.4983,24.0564,23.872,0.5301
25.2319,25.1312,23.8886,23.4817,23.2715,0.5378
25.4921,25.4498,24.5624,23.8938,23.1893,1.0716
24.4203,24.4575,23.5989,22.8983,22.4173,0.8557
25.6371,25.5842,24.5128,23.7717,23.4307,0.7343
24.7618,24.5112,23.9649,23.8427,23.5168,2.0187
25.6078,25.4964,24.7877,24.0947,23.5459,1.5486
25.0932,24.8053,24.042,24.004,23.8744,0.2821
26.3197,25.7151,24.8162,24.8613,24.4799,2.822
26.175,26.1116,24.5057,23.5084,22.4034,1.197
25.0519,25.15,24.3287,24.0103,23.812,0.6422
25.4678,25.7027,25.4423,24.8327,24.3153,1.1095
24.9287,25.1253,24.2356,23.5896,23.3339,0.7273
24.6386,24.693,24.2436,24.3264,23.5487,1.3112
25.6421,25.2578,24.1459,23.8499,23.6286,0.2219
23.6366,23.6721,22.64,22.2269,22.0203,0.6296
24.2169,24.4317,23.8875,23.626,23.6271,0.6576
25.021,25.1573,24.6166,24.3104,23.8144,1.1456
24.2819,24.2532,23.5186,23.0441,22.2703,1.2494
24.7627,24.9139,24.1507,23.6919,23.7036,0.6055
25.2031,25.1259,24.0563,23.525,23.2726,0.6373
25.0952,24.7771,24.2939,24.1368,24.1164,2.3356
25.5512,25.4447,25.184,24.754,24.4922,0.9526
26.6795,26.6138,25.8815,25.5629,24.3252,1.4188
27.1124,26.367,23.9761,22.9009,22.2439,0.7587
25.2197,25.4533,24.9662,24.5607,24.5028,0.8104
25.6692,25.3402,24.0477,23.4676,23.1213,0.624
25.4815,25.4742,24.1731,23.9832,23.7935,0.3587
26.4398,26.1375,25.3225,24.9827,24.764,2.3016
24.3823,24.4176,23.9283,23.3582,22.9049,0.9762
25.2748,25.4813,24.8046,24.2731,23.9541,0.7641
25.2624,25.5284,25.36,25.2273,24.8591,1.3793
24.0631,24.0007,23.5533,23.3375,22.8956,1.5031
23.3283,23.349,22.4558,21.903,21.567,0.7507
24.0341,24.0458,23.0652,22.4221,22.0793,0.7435
25.8078,26.1894,25.6915,25.3493,24.7284,1.0542
25.7983,25.7993,25.4297,25.3913,24.8244,1.4797
25.5108,25.6055,24.9663,24.3633,23.9943,0.8173
25.8261,26.0557,25.2822,24.6593,24.6552,0.6455
25.0383,24.9218,23.876,23.2031,22.8095,0.744
24.8559,24.9343,24.1755,23.7737,23.7584,0.6559
26.0421,26.2223,24.8122,24.5041,24.1861,0.5405
